id,iconic_taxon,taxon_name,user_login,latitude,longitude,photos_id,photos_medium_url,license_photo,attribution,path
450276,insecta,Vespa velutina,mingokt,41.504251,2.157619,606444,https://minka-sdg.org/attachments/local_photos/files/606444/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450276_606444.jpg
450276,insecta,Vespa velutina,mingokt,41.504251,2.157619,606445,https://minka-sdg.org/attachments/local_photos/files/606445/medium.jpeg,cc-by-nc,"(c) mingokt, some rights reserved (CC BY-NC)",450276_606445.jpg
450042,plantae,Malva multiflora,crismc,41.4165623,2.2315299,606115,https://minka-sdg.org/attachments/local_photos/files/606115/medium.jpeg,cc-by,"(c) crismc, some rights reserved (CC BY)",450042_606115.jpg
450041,plantae,Convolvulus arvensis,crismc,41.4165623,2.2315299,606114,https://minka-sdg.org/attachments/local_photos/files/606114/medium.jpeg,cc-by,"(c) crismc, some rights reserved (CC BY)",450041_606114.jpg
450041,plantae,Convolvulus arvensis,crismc,41.4165623,2.2315299,606113,https://minka-sdg.org/attachments/local_photos/files/606113/medium.jpeg,cc-by,"(c) crismc, some rights reserved (CC BY)",450041_606113.jpg
450040,plantae,Sonchus tenerrimus,crismc,41.3986312817,2.2116465502,606112,https://minka-sdg.org/attachments/local_photos/files/606112/medium.jpeg,cc-by,"(c) crismc, some rights reserved (CC BY)",450040_606112.jpg
450040,plantae,Sonchus tenerrimus,crismc,41.3986312817,2.2116465502,606111,https://minka-sdg.org/attachments/local_photos/files/606111/medium.jpeg,cc-by,"(c) crismc, some rights reserved (CC BY)",450040_606111.jpg
450039,plantae,Limoniastrum monopetalum,crismc,41.3974127114,2.2094976324,606109,https://minka-sdg.org/attachments/local_photos/files/606109/medium.jpeg,cc-by,"(c) crismc, some rights reserved (CC BY)",450039_606109.jpg
450039,plantae,Limoniastrum monopetalum,crismc,41.3974127114,2.2094976324,606110,https://minka-sdg.org/attachments/local_photos/files/606110/medium.jpeg,cc-by,"(c) crismc, some rights reserved (CC BY)",450039_606110.jpg
450038,plantae,Lavandula stoechas,crismc,41.3972962306,2.2094446607,606108,https://minka-sdg.org/attachments/local_photos/files/606108/medium.jpeg,cc-by,"(c) crismc, some rights reserved (CC BY)",450038_606108.jpg
450038,plantae,Lavandula stoechas,crismc,41.3972962306,2.2094446607,606107,https://minka-sdg.org/attachments/local_photos/files/606107/medium.jpeg,cc-by,"(c) crismc, some rights reserved (CC BY)",450038_606107.jpg
